Gene,Isoforms,Unique Exon Count
PB.1,"PB.1.1, PB.1.2, PB.1.4, PB.1.5, PB.1.6",8
PB.10,"PB.10.1, PB.10.2, PB.10.3, PB.10.4, PB.10.5, PB.10.6",12
PB.100,PB.100.1,3
PB.1000,"PB.1000.1, PB.1000.2, PB.1000.3, PB.1000.4, PB.1000.5, PB.1000.6, PB.1000.7",14
PB.10000,"PB.10000.1, PB.10000.2",4
PB.10001,"PB.10001.1, PB.10001.2, PB.10001.3, PB.10001.4, PB.10001.5",8
PB.10002,"PB.10002.1, PB.10002.2, PB.10002.3, PB.10002.4",5
PB.10003,"PB.10003.1, PB.10003.2",3
PB.10004,"PB.10004.10, PB.10004.11, PB.10004.12, PB.10004.2, PB.10004.4, PB.10004.5, PB.10004.6, PB.10004.7, PB.10004.8, PB.10004.9",15
PB.10005,"PB.10005.1, PB.10005.2, PB.10005.3",8
PB.10006,"PB.10006.1, PB.10006.2, PB.10006.3, PB.10006.4, PB.10006.5, PB.10006.6",11
PB.10007,"PB.10007.1, PB.10007.12, PB.10007.13, PB.10007.2, PB.10007.3, PB.10007.4, PB.10007.5, PB.10007.6, PB.10007.7, PB.10007.8, PB.10007.9",25
PB.10008,"PB.10008.1, PB.10008.2",20
PB.10009,"PB.10009.1, PB.10009.2, PB.10009.3, PB.10009.4",8
PB.1001,"PB.1001.1, PB.1001.10, PB.1001.11, PB.1001.12, PB.1001.2, PB.1001.3, PB.1001.4, PB.1001.6, PB.1001.7, PB.1001.8, PB.1001.9",15
PB.10010,"PB.10010.1, PB.10010.2, PB.10010.3, PB.10010.4, PB.10010.5, PB.10010.6, PB.10010.7, PB.10010.8",20
PB.10011,"PB.10011.1, PB.10011.2, PB.10011.3, PB.10011.4, PB.10011.5, PB.10011.6, PB.10011.7",12
PB.10012,"PB.10012.1, PB.10012.2, PB.10012.3, PB.10012.4, PB.10012.5, PB.10012.6, PB.10012.7",16
PB.10013,"PB.10013.1, PB.10013.2, PB.10013.3, PB.10013.4, PB.10013.5, PB.10013.6",13
PB.10014,"PB.10014.1, PB.10014.2",3
PB.10015,"PB.10015.1, PB.10015.10, PB.10015.11, PB.10015.12, PB.10015.2, PB.10015.3, PB.10015.4, PB.10015.5, PB.10015.6, PB.10015.7, PB.10015.8, PB.10015.9",24
PB.10016,PB.10016.1,1
PB.10017,"PB.10017.1, PB.10017.2, PB.10017.3, PB.10017.4",11
PB.10018,"PB.10018.1, PB.10018.2",11
PB.10019,"PB.10019.1, PB.10019.2, PB.10019.3",6
PB.1002,"PB.1002.1, PB.1002.2, PB.1002.3",6
PB.10020,"PB.10020.1, PB.10020.10, PB.10020.11, PB.10020.12, PB.10020.2, PB.10020.3, PB.10020.4, PB.10020.5, PB.10020.6, PB.10020.7, PB.10020.8, PB.10020.9",21
PB.10021,"PB.10021.1, PB.10021.2, PB.10021.3, PB.10021.4, PB.10021.6, PB.10021.7, PB.10021.8, PB.10021.9",12
PB.10022,"PB.10022.1, PB.10022.2",5
PB.10023,"PB.10023.1, PB.10023.2, PB.10023.3",8
PB.10024,PB.10024.1,3
PB.10025,"PB.10025.1, PB.10025.2",2
PB.10026,"PB.10026.1, PB.10026.2, PB.10026.3, PB.10026.4",8
PB.10027,"PB.10027.1, PB.10027.2, PB.10027.3, PB.10027.4, PB.10027.5",8
PB.10028,"PB.10028.1, PB.10028.2, PB.10028.3, PB.10028.4, PB.10028.5, PB.10028.6",10
PB.10029,"PB.10029.1, PB.10029.2, PB.10029.3, PB.10029.4, PB.10029.5, PB.10029.6, PB.10029.7",9
PB.1003,PB.1003.1,2
